shift_ID;shift_details;shift_weekdays;shift_start_time;shift_end_time;shift_required_staff;shift_class;shift_work_time_assignment;[shift_required_qualification]
[00day000week];day shift week;Mon, Tue, Wed, Thu, Fri;06:00;16:45;7;2;;none
[night000week];night shift week;Mon, Tue, Wed, Thu, Fri;16:15;07:00;5;7;;none
[00dayweekend];day shift weekend;Sat, Sun;06:00;16:45;5;5;;none
[nightweekend];night shift weekend;Sat, Sun;16:15;07:00;5;10;;none
[00000freeday];free day;Mon, Tue, Wed, Thu, Fri, Sat, Sun;06:00;06:00;none;1;;none
;;;;;;;;
;;;;;;;;
